date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:16	20508/20508	---M--	200	added ('OK')	image/jpeg	etag:%22501c-567a4681a8b6f%22	https://www.transcanin.fr/data/galerie/18/10.jpg	E:/jov/www.transcanin.fr/data/galerie/18/10.jpg	(from https://www.transcanin.fr/)
00:19:18	96340/96340	---M--	200	added ('OK')	image/jpeg	etag:%2217854-567a4683b232f%22	https://www.transcanin.fr/data/galerie/19/11.JPG	E:/jov/www.transcanin.fr/data/galerie/19/11.jpg	(from https://www.transcanin.fr/)
00:19:19	30802/30802	---M--	200	added ('OK')	image/jpeg	etag:%227852-567a46845930f%22	https://www.transcanin.fr/data/galerie/20/12.jpg	E:/jov/www.transcanin.fr/data/galerie/20/12.jpg	(from https://www.transcanin.fr/)
00:19:19	36225/36225	---M--	200	added ('OK')	image/jpeg	etag:%228d81-567a4684eab2f%22	https://www.transcanin.fr/data/galerie/21/13.jpg	E:/jov/www.transcanin.fr/data/galerie/21/13.jpg	(from https://www.transcanin.fr/)
00:19:20	49756/49756	---M--	200	added ('OK')	image/jpeg	etag:%22c25c-567a4685d800f%22	https://www.transcanin.fr/data/galerie/22/14.jpg	E:/jov/www.transcanin.fr/data/galerie/22/14.jpg	(from https://www.transcanin.fr/)
00:19:21	32024/32024	---M--	200	added ('OK')	image/jpeg	etag:%227d18-567a468608d4f%22	https://www.transcanin.fr/data/galerie/23/15.jpg	E:/jov/www.transcanin.fr/data/galerie/23/15.jpg	(from https://www.transcanin.fr/)
00:19:22	36872/36872	---M--	200	added ('OK')	image/jpeg	etag:%229008-567a4686ca30f%22	https://www.transcanin.fr/data/galerie/24/16.jpg	E:/jov/www.transcanin.fr/data/galerie/24/16.jpg	(from https://www.transcanin.fr/)
00:19:23	34250/34250	---M--	200	added ('OK')	image/jpeg	etag:%2285ca-567a4687618ef%22	https://www.transcanin.fr/data/galerie/25/17.jpg	E:/jov/www.transcanin.fr/data/galerie/25/17.jpg	(from https://www.transcanin.fr/)
00:19:24	35454/35454	---M--	200	added ('OK')	image/jpeg	etag:%228a7e-567a4687e276f%22	https://www.transcanin.fr/data/galerie/26/18.jpg	E:/jov/www.transcanin.fr/data/galerie/26/18.jpg	(from https://www.transcanin.fr/)
00:19:25	39456/39456	---M--	200	added ('OK')	image/jpeg	etag:%229a20-567a4688cae2f%22	https://www.transcanin.fr/data/galerie/27/19.jpg	E:/jov/www.transcanin.fr/data/galerie/27/19.jpg	(from https://www.transcanin.fr/)
